year,age,people
1890,0,0.0100
1890,5,0.0100
1890,10,0.0200
1890,15,0.0300
1890,20,0.0400
1890,25,0.0400
1890,30,0.0500
1890,35,0.0600
1890,40,0.0600
1890,45,0.0600
1890,50,0.0600
1890,55,0.0800
1890,60,0.0800
1890,65,0.0900
1890,70,0.0900
1890,75,0.1000
1890,80,0.1200
1800,0,0.0154
1800,5,0.0152
1800,10,0.0221
1800,15,0.0296
1800,20,0.0372
1800,25,0.0455
1800,30,0.0537
1800,35,0.0604
1800,40,0.0659
1800,45,0.0715
1800,50,0.0761
1800,55,0.0793
1800,60,0.0822
1800,65,0.0847
1800,70,0.0860
1800,75,0.0869
1800,80,0.0886
1710,0,0.0037
1710,5,0.0051
1710,10,0.0096
1710,15,0.0151
1710,20,0.0220
1710,25,0.0263
1710,30,0.0370
1710,35,0.0477
1710,40,0.0624
1710,45,0.0728
1710,50,0.0746
1710,55,0.0763
1710,60,0.0800
1710,65,0.0941
1710,70,0.1193
1710,75,0.1256
1710,80,0.1284
1620,0,0.0047
1620,5,0.0067
1620,10,0.0115
1620,15,0.0180
1620,20,0.0227
1620,25,0.0330
1620,30,0.0428
1620,35,0.0564
1620,40,0.0659
1620,45,0.0683
1620,50,0.0698
1620,55,0.0674
1620,60,0.0757
1620,65,0.1035
1620,70,0.1180
1620,75,0.1181
1620,80,0.1175
1530,0,0.0075
1530,5,0.0092
1530,10,0.0154
1530,15,0.0217
1530,20,0.0321
1530,25,0.0419
1530,30,0.0550
1530,35,0.0584
1530,40,0.0632
1530,45,0.0596
1530,50,0.0573
1530,55,0.0619
1530,60,0.0808
1530,65,0.0979
1530,70,0.1071
1530,75,0.1122
1530,80,0.1187
1440,0,0.0042
1440,5,0.0055
1440,10,0.0097
1440,15,0.0136
1440,20,0.0192
1440,25,0.0244
1440,30,0.0344
1440,35,0.0437
1440,40,0.0550
1440,45,0.0691
1440,50,0.0767
1440,55,0.0776
1440,60,0.0853
1440,65,0.0927
1440,70,0.1160
1440,75,0.1315
1440,80,0.1414
1350,0,0.0051
1350,5,0.0065
1350,10,0.0102
1350,15,0.0161
1350,20,0.0210
1350,25,0.0286
1350,30,0.0378
1350,35,0.0477
1350,40,0.0605
1350,45,0.0680
1350,50,0.0682
1350,55,0.0711
1350,60,0.0779
1350,65,0.1041
1350,70,0.1199
1350,75,0.1263
1350,80,0.1310
1260,0,0.0072
1260,5,0.0082
1260,10,0.0131
1260,15,0.0187
1260,20,0.0271
1260,25,0.0336
1260,30,0.0440
1260,35,0.0542
1260,40,0.0582
1260,45,0.0589
1260,50,0.0615
1260,55,0.0666
1260,60,0.0874
1260,65,0.1046
1260,70,0.1119
1260,75,0.1167
1260,80,0.1279
1170,0,0.0053
1170,5,0.0062
1170,10,0.0109
1170,15,0.0186
1170,20,0.0260
1170,25,0.0301
1170,30,0.0484
1170,35,0.0659
1170,40,0.0832
1170,45,0.0954
1170,50,0.0838
1170,55,0.0755
1170,60,0.1008
1170,65,0.1138
1170,70,0.0819
1170,75,0.0772
1170,80,0.0771
1080,0,0.0058
1080,5,0.0069
1080,10,0.0130
1080,15,0.0197
1080,20,0.0237
1080,25,0.0353
1080,30,0.0508
1080,35,0.0701
1080,40,0.0867
1080,45,0.0823
1080,50,0.0786
1080,55,0.0909
1080,60,0.1287
1080,65,0.0905
1080,70,0.0789
1080,75,0.0707
1080,80,0.0674
990,0,0.0084
990,5,0.0109
990,10,0.0161
990,15,0.0225
990,20,0.0346
990,25,0.0474
990,30,0.0581
990,35,0.0680
990,40,0.0739
990,45,0.0751
990,50,0.0988
990,55,0.1039
990,60,0.0977
990,65,0.0785
990,70,0.0646
990,75,0.0654
990,80,0.0761
900,0,0.0100
900,5,0.0100
900,10,0.0200
900,15,0.0300
900,20,0.0400
900,25,0.0400
900,30,0.0500
900,35,0.0600
900,40,0.0600
900,45,0.0600
900,50,0.0600
900,55,0.0800
900,60,0.0800
900,65,0.0900
900,70,0.0900
900,75,0.1000
900,80,0.1200
810,0,0.0154
810,5,0.0152
810,10,0.0221
810,15,0.0296
810,20,0.0372
810,25,0.0455
810,30,0.0537
810,35,0.0604
810,40,0.0659
810,45,0.0715
810,50,0.0761
810,55,0.0793
810,60,0.0822
810,65,0.0847
810,70,0.0860
810,75,0.0869
810,80,0.0886
720,0,0.0037
720,5,0.0051
720,10,0.0096
720,15,0.0151
720,20,0.0220
720,25,0.0263
720,30,0.0370
720,35,0.0477
720,40,0.0624
720,45,0.0728
720,50,0.0746
720,55,0.0763
720,60,0.0800
720,65,0.0941
720,70,0.1193
720,75,0.1256
720,80,0.1284
630,0,0.0047
630,5,0.0067
630,10,0.0115
630,15,0.0180
630,20,0.0227
630,25,0.0330
630,30,0.0428
630,35,0.0564
630,40,0.0659
630,45,0.0683
630,50,0.0698
630,55,0.0674
630,60,0.0757
630,65,0.1035
630,70,0.1180
630,75,0.1181
630,80,0.1175
540,0,0.0075
540,5,0.0092
540,10,0.0154
540,15,0.0217
540,20,0.0321
540,25,0.0419
540,30,0.0550
540,35,0.0584
540,40,0.0632
540,45,0.0596
540,50,0.0573
540,55,0.0619
540,60,0.0808
540,65,0.0979
540,70,0.1071
540,75,0.1122
540,80,0.1187
450,0,0.0042
450,5,0.0055
450,10,0.0097
450,15,0.0136
450,20,0.0192
450,25,0.0244
450,30,0.0344
450,35,0.0437
450,40,0.0550
450,45,0.0691
450,50,0.0767
450,55,0.0776
450,60,0.0853
450,65,0.0927
450,70,0.1160
450,75,0.1315
450,80,0.1414
360,0,0.0051
360,5,0.0065
360,10,0.0102
360,15,0.0161
360,20,0.0210
360,25,0.0286
360,30,0.0378
360,35,0.0477
360,40,0.0605
360,45,0.0680
360,50,0.0682
360,55,0.0711
360,60,0.0779
360,65,0.1041
360,70,0.1199
360,75,0.1263
360,80,0.1310
270,0,0.0072
270,5,0.0082
270,10,0.0131
270,15,0.0187
270,20,0.0271
270,25,0.0336
270,30,0.0440
270,35,0.0542
270,40,0.0582
270,45,0.0589
270,50,0.0615
270,55,0.0666
270,60,0.0874
270,65,0.1046
270,70,0.1119
270,75,0.1167
270,80,0.1279
180,0,0.0053
180,5,0.0062
180,10,0.0109
180,15,0.0186
180,20,0.0260
180,25,0.0301
180,30,0.0484
180,35,0.0659
180,40,0.0832
180,45,0.0954
180,50,0.0838
180,55,0.0755
180,60,0.1008
180,65,0.1138
180,70,0.0819
180,75,0.0772
180,80,0.0771
90,0,0.0058
90,5,0.0069
90,10,0.0130
90,15,0.0197
90,20,0.0237
90,25,0.0353
90,30,0.0508
90,35,0.0701
90,40,0.0867
90,45,0.0823
90,50,0.0786
90,55,0.0909
90,60,0.1287
90,65,0.0905
90,70,0.0789
90,75,0.0707
90,80,0.0674
0,0,0.0084
0,5,0.0109
0,10,0.0161
0,15,0.0225
0,20,0.0346
0,25,0.0474
0,30,0.0581
0,35,0.0680
0,40,0.0739
0,45,0.0751
0,50,0.0988
0,55,0.1039
0,60,0.0977
0,65,0.0785
0,70,0.0646
0,75,0.0654
0,80,0.0761
