year,pop,rate,ratelow,rateupp,age
1996,Maori,1062.4179803549,1016.86344356153,1107.97251714827,0
1997,Maori,980.153461147437,937.809253718933,1022.49766857594,0
1998,Maori,934.228571763681,893.845137294244,974.612006233118,0
1999,Maori,954.189955596392,914.083347250465,994.296563942318,0
2000,Maori,905.958928228332,867.481032383612,944.436824073053,0
2001,Maori,864.292018855985,827.949575261182,900.634462450788,0
2002,Maori,840.256049640369,805.25719507342,875.254904207318,0
2003,Maori,829.543207752129,795.542616095377,863.543799408881,0
2004,Maori,803.668673240091,771.051224671822,836.28612180836,0
2005,Maori,787.122831384323,755.416402476503,818.829260292143,0
2006,Maori,777.707568759577,747.187229227384,808.22790829177,0
2007,Maori,753.642008501644,724.49803566858,782.785981334708,0
2008,Maori,732.013026809233,703.922859119338,760.103194499128,0
2009,Maori,731.28762032098,703.959603413888,758.615637228072,0
2010,Maori,663.786656227189,638.576664782109,688.996647672269,0
2011,Maori,672.030201492717,647.257120311772,696.803282673661,0
2012,Maori,655.799355510196,631.797063462442,679.801647557949,0
2013,Maori,623.901722767804,601.063701920207,646.739743615401,0
1996,Non-Maori,542.088895717116,535.219134880263,548.958656553968,18
1997,Non-Maori,517.076427023602,510.427869158577,523.724984888627,18
1998,Non-Maori,493.869718355232,487.414600069232,500.324836641232,18
1999,Non-Maori,506.923168427878,500.449776501576,513.39656035418,18
2000,Non-Maori,472.383621285416,466.155013290533,478.612229280298,18
2001,Non-Maori,477.262117141824,471.098112992393,483.426121291254,18
2002,Non-Maori,470.899297557302,464.825486280523,476.97310883408,18
2003,Non-Maori,452.079954438975,446.20261859132,457.957290286629,18
2004,Non-Maori,452.415944525458,446.587577581681,458.244311469235,18
2005,Non-Maori,418.785699215234,413.232037816226,424.339360614242,18
2006,Non-Maori,426.401681484689,420.86442120443,431.938941764947,18
2007,Non-Maori,412.952722429695,407.547183972727,418.358260886664,18
2008,Non-Maori,417.653839269501,412.267439616185,423.040238922818,18
2009,Non-Maori,403.599970522116,398.349122965358,408.850818078873,18
2010,Non-Maori,388.580620646285,383.499545685887,393.661695606682,18
2011,Non-Maori,399.971859287431,394.87784504223,405.065873532632,18
2012,Non-Maori,387.367937558562,382.412242463894,392.32363265323,18
2013,Non-Maori,358.324743513029,353.620694424819,363.02879260124,18
1996,Total,577.666222425954,570.80270544403,584.529739407878,36
1997,Total,551.019171083531,544.378619119209,557.659723047852,36
1998,Total,525.814943866588,519.382111877819,532.247775855356,36
1999,Total,539.968915085245,533.521625523199,546.41620464729,36
2000,Total,502.664623800717,496.488941645224,508.84030595621,36
2001,Total,507.703091139313,501.581839322637,513.824342955989,36
2002,Total,499.605352853226,493.599436401448,505.611269305005,36
2003,Total,482.552724860668,476.713092536712,488.392357184625,36
2004,Total,481.295321673818,475.529014202553,487.061629145084,36
2005,Total,448.744078780008,443.224337907552,454.263819652465,36
2006,Total,456.432711083049,450.934888114818,461.930534051281,36
2007,Total,443.036065430575,437.670292504879,448.401838356271,36
2008,Total,444.490779817018,439.185174613035,449.796385021,36
2009,Total,432.478657608359,427.286552692859,437.670762523859,36
2010,Total,414.555836012444,409.542153212603,419.569518812284,36
2011,Total,425.337857961515,420.323301630046,430.352414292985,36
2012,Total,411.943658151457,407.068583030992,416.818733271922,36
2013,Total,382.203186177871,377.568746813913,386.837625541828,36
1996,Male Maori,1257.71214748454,1181.06172831589,1334.36256665319,54
1997,Male Maori,1152.599102979,1081.93240731519,1223.26579864282,54
1998,Male Maori,1112.9448474005,1045.7904719105,1180.09922289049,54
1999,Male Maori,1136.83949297744,1069.78275783388,1203.896228121,54
2000,Male Maori,1056.95837955206,993.630850893316,1120.28590821081,54
2001,Male Maori,977.283581052815,918.222072195912,1036.34508990972,54
2002,Male Maori,988.967267276007,930.959287023716,1046.9752475283,54
2003,Male Maori,993.517861668645,936.084494068635,1050.95122926865,54
2004,Male Maori,944.177532224133,889.478754525299,998.876309922967,54
2005,Male Maori,904.881534208654,853.226113659701,956.536954757606,54
2006,Male Maori,913.579390184323,863.316490784517,963.842289584129,54
2007,Male Maori,897.63328104855,849.240121876698,946.026440220402,54
2008,Male Maori,815.192677521875,770.32697429643,860.05838074732,54
2009,Male Maori,851.932204487426,807.432670653294,896.431738321557,54
2010,Male Maori,735.161546460221,695.584857540105,774.738235380338,54
2011,Male Maori,736.006233926854,697.233348841375,774.779119012333,54
2012,Male Maori,761.837451404187,722.555601045526,801.119301762849,54
2013,Male Maori,714.116182936014,677.179568101641,751.052797770387,54
1996,Male Non-Maori,666.328624664045,654.795992809305,677.861256518785,72
1997,Male Non-Maori,643.800059540041,632.579286285141,655.020832794941,72
1998,Male Non-Maori,607.962392515636,597.14232217237,618.782462858902,72
1999,Male Non-Maori,619.144020183782,608.3342952168,629.953745150763,72
2000,Male Non-Maori,586.130797871438,575.683533994608,596.578061748269,72
2001,Male Non-Maori,579.287665160295,569.037339730884,589.537990589707,72
2002,Male Non-Maori,565.541169124688,555.542903596217,575.539434653159,72
2003,Male Non-Maori,538.17988328188,528.566821820334,547.792944743426,72
2004,Male Non-Maori,533.80234617245,524.332727793592,543.271964551309,72
2005,Male Non-Maori,494.763011032044,485.738424697879,503.787597366209,72
2006,Male Non-Maori,497.862145701815,488.916657543655,506.807633859974,72
2007,Male Non-Maori,481.78973758161,473.122222739645,490.457252423576,72
2008,Male Non-Maori,487.099552508554,478.466588760766,495.732516256343,72
2009,Male Non-Maori,468.127560063982,459.758005922164,476.497114205799,72
2010,Male Non-Maori,451.136733142964,443.040067835238,459.233398450689,72
2011,Male Non-Maori,457.296518154313,449.237897355234,465.355138953391,72
2012,Male Non-Maori,445.170472301074,437.319290564584,453.021654037564,72
2013,Male Non-Maori,414.601541482207,407.13763794713,422.065445017285,72
1996,Male,706.688602714686,695.189609454597,718.187595974776,90
1997,Male,682.144504107129,670.966790890224,693.322217324034,90
1998,Male,646.273283435491,635.493622289743,657.052944581239,90
1999,Male,658.374601791485,647.604926414241,669.144277168728,90
2000,Male,619.667328830225,609.330106153862,630.004551506587,90
2001,Male,611.039289534616,600.902657312103,621.17592175713,90
2002,Male,598.669314106381,588.772990210478,608.565638002284,90
2003,Male,574.655843271938,565.086712602659,584.224973941217,90
2004,Male,567.046614468748,557.666183943397,576.427044994098,90
2005,Male,529.47766145683,520.502978309383,538.452344604277,90
2006,Male,532.443180615092,523.571949190382,541.314412039802,90
2007,Male,517.729934251905,509.105687270327,526.354181233483,90
2008,Male,515.912411865956,507.413181264036,524.411642467875,90
2009,Male,501.969472950522,493.67496510015,510.263980800894,90
2010,Male,479.871794206971,471.878702769491,487.864885644452,90
2011,Male,484.021564409195,476.098859571713,491.944269246678,90
2012,Male,473.243098435795,465.505001286076,480.981195585513,90
2013,Male,441.465922944974,434.100370294784,448.831475595163,90
1996,Female Maori,904.046945159926,848.040092800708,960.053797519144,108
1997,Female Maori,835.833029605546,783.468633322447,888.197425888644,108
1998,Female Maori,781.834523089574,732.034698207381,831.634347971767,108
1999,Female Maori,800.391545877826,751.220459686137,849.562632069515,108
2000,Female Maori,777.083621564497,729.43005078293,824.737192346064,108
2001,Female Maori,767.346623574931,721.644375135904,813.048872013959,108
2002,Female Maori,714.212539531515,671.088663397599,757.336415665431,108
2003,Female Maori,698.039071188822,656.334303139257,739.743839238388,108
2004,Female Maori,690.856877963421,650.504389879,731.209366047842,108
2005,Female Maori,685.439571276691,645.683584560363,725.195557993019,108
2006,Female Maori,661.176473248164,623.409204855495,698.943741640834,108
2007,Female Maori,633.64819219684,597.73958973017,669.55679466351,108
2008,Female Maori,659.260223505585,623.481152162119,695.039294849052,108
2009,Female Maori,627.140248010519,593.089172162028,661.19132385901,108
2010,Female Maori,597.335474582169,565.030125195885,629.640823968452,108
2011,Female Maori,613.632673335894,581.716620844071,645.548725827717,108
2012,Female Maori,569.753871857526,539.774775576913,599.732968138138,108
2013,Female Maori,547.680837042638,518.985903436027,576.37577064925,108
1996,Female Non-Maori,443.060628740454,434.731679606947,451.389577873961,126
1997,Female Non-Maori,415.621007510791,407.633484420127,423.608530601454,126
1998,Female Non-Maori,402.66470492522,394.843641137823,410.485768712618,126
1999,Female Non-Maori,417.086071883234,409.19517148782,424.976972278648,126
2000,Female Non-Maori,381.760660604495,374.23144827712,389.28987293187,126
2001,Female Non-Maori,393.234767837553,385.750776006771,400.718759668335,126
2002,Female Non-Maori,393.401112787945,385.919816136948,400.882409438942,126
2003,Female Non-Maori,380.990812389395,373.712913865826,388.268710912963,126
2004,Female Non-Maori,384.865756762895,377.603076031881,392.128437493909,126
2005,Female Non-Maori,353.391189876685,346.530529681622,360.251850071748,126
2006,Female Non-Maori,364.052997443087,357.188979037862,370.917015848311,126
2007,Female Non-Maori,353.427317206255,346.650760053167,360.203874359343,126
2008,Female Non-Maori,356.977039743644,350.245574794364,363.708504692924,126
2009,Female Non-Maori,346.862322315477,340.260553615629,353.464091015324,126
2010,Female Non-Maori,333.533033439417,327.153742909547,339.912323969287,126
2011,Female Non-Maori,348.428780702661,341.997681261792,354.85988014353,126
2012,Female Non-Maori,335.572043330274,329.327833274198,341.816253386351,126
2013,Female Non-Maori,308.628028880281,302.70198493003,314.554072830532,126
1996,Female,474.42671516309,466.077055460212,482.776374865968,144
1997,Female,445.389727691511,437.380289392622,453.399165990399,144
1998,Female,428.540519243621,420.746621176283,436.33441731096,144
1999,Female,444.30894621755,436.459985825833,452.157906609266,144
2000,Female,409.067064335526,401.569760659387,416.564368011665,144
2001,Female,422.519493649709,415.032033776914,430.006953522505,144
2002,Female,417.99010607926,410.602246221537,425.377965936982,144
2003,Female,406.090202331008,398.876122078046,413.304282583971,144
2004,Female,409.895543414503,402.716851422934,417.074235406072,144
2005,Female,378.948167248684,372.132051288256,385.764283209111,144
2006,Female,390.023733578503,383.186663406895,396.860803750111,144
2007,Female,378.341359619028,371.630106134637,385.05261310342,144
2008,Female,382.041647730785,375.399720486379,388.683574975191,144
2009,Female,371.270600948151,364.757106526537,377.784095369765,144
2010,Female,356.91895083207,350.623728389432,363.214173274708,144
2011,Female,372.693243554255,366.340587410159,379.045899698351,144
2012,Female,357.327780939199,351.18836756644,363.467194311959,144
2013,Female,329.924806202439,324.092702225809,335.75691017907,144
